"route_id","schedule_date","car_type","route_distance_km","route_minutes","total_orders"
"562510","2019-06-29 08:00:00","Particular","79.149","532.93","55"
"563400","2019-06-29 15:45:00","Moto","22.391","104.85","4"
"563570","2019-06-29 15:45:00","Moto","62.106","142.81","7"
"563750","2019-06-29 15:45:00","Moto","46.681","102.24","6"
"564130","2019-06-30 08:00:00","Fiorino S.C.","20.151","68.22","2"
"564440","2019-06-29 17:00:00","Moto","30.166","85.22","9"
"564460","2019-06-29 17:00:00","Moto","27.398","66.53","6"
"564480","2019-06-30 08:00:00","Fiorino S.C.","20.151","68.22","2"
"564490","2019-07-01 08:00:00","Fiorino S.C.","19.048","51.13","2"
"564500","2019-07-02 08:00:00","Fiorino S.C.","25.280","66.87","2"
"564530","2019-07-03 08:00:00","Fiorino S.C.","19.205","48.02","2"
"564590","2019-06-30 09:00:00","Particular","91.660","345.3","20"
"564600","2019-06-30 09:00:00","Particular","70.500","275.7","21"
"564610","2019-06-30 09:00:00","Particular","62.109","190.68","13"
"564620","2019-06-30 09:00:00","Particular","98.413","419.88","29"
"564630","2019-06-30 09:00:00","Particular","108.859","424.67","32"
"564640","2019-06-30 08:00:00","Particular","92.120","357.07","14"
"564650","2019-06-30 08:00:00","Particular","63.213","318.3","16"
"564660","2019-06-30 08:00:00","Particular","66.225","371.95","17"
"564670","2019-06-30 08:00:00","Particular","62.202","380.75","19"
"564680","2019-06-30 08:00:00","Particular","65.033","369.73","17"
"564690","2019-06-30 08:00:00","Particular","59.526","457.73","27"
"564700","2019-06-30 08:00:00","Particular","85.698","351.7","17"
"564710","2019-06-30 08:00:00","Particular","56.291","444.32","26"
"564720","2019-06-30 08:00:00","Particular","47.849","328.63","18"
"564730","2019-06-30 08:00:00","Particular","249.503","440.6","16"
"564740","2019-06-30 08:00:00","Fiorino S.C.","66.318","151.23","4"
"564750","2019-06-30 08:00:00","Moto","48.346","90.77","2"
"564760","2019-06-30 08:00:00","Moto","82.103","123.92","1"
"564770","2019-06-30 08:00:00","Particular","40.352","445.58","65"
"564780","2019-06-30 08:00:00","Particular","81.939","538.38","57"
"564790","2019-06-30 08:00:00","Fiorino Sr","131.746","652.88","69"
"564800","2019-06-30 08:00:00","Particular","53.082","425.23","54"
"564810","2019-06-30 08:00:00","Particular","21.902","321.83","54"
"564820","2019-06-30 08:00:00","Particular","23.428","395.12","68"
"564830","2019-06-30 08:00:00","Particular","43.607","563.05","83"
"564840","2019-06-30 08:00:00","Particular","41.553","380.53","53"
"564850","2019-06-30 08:00:00","Particular","56.052","474.47","63"
"564860","2019-06-30 08:00:00","Particular","27.199","359.33","52"
"564870","2019-06-30 08:00:00","Particular","36.445","371.83","48"
"564880","2019-06-30 08:00:00","Particular","41.695","495.45","69"
"564890","2019-06-30 08:00:00","Particular","68.424","502.22","66"
"564900","2019-06-30 08:00:00","Particular","46.596","543.3","74"
"564910","2019-06-30 08:00:00","Particular","35.497","456.18","64"
"564920","2019-06-30 08:00:00","Particular","33.752","392.13","55"
"564930","2019-06-30 08:00:00","Fiorino","73.995","574.85","74"
"564940","2019-06-30 08:00:00","Particular","35.640","434.17","59"
"564950","2019-06-30 08:00:00","Particular","41.854","484","79"
"564960","2019-06-30 08:00:00","Particular","50.156","430.07","53"
"564970","2019-06-30 08:00:00","Particular","58.134","519.72","60"
"564980","2019-06-30 08:00:00","Fiorino","61.111","767.42","95"
"564990","2019-06-30 08:00:00","Particular","57.283","545.08","82"
"565000","2019-06-30 08:00:00","Particular","34.817","368.75","55"
"565010","2019-06-30 08:00:00","Fiorino S.C.","30.273","270.88","36"
"565020","2019-06-30 08:00:00","Próprio","83.745","678.47","99"
"565030","2019-06-30 08:00:00","Fiorino","63.100","634.47","84"
"565040","2019-06-30 08:00:00","Fiorino","69.540","384.33","42"
"565050","2019-06-30 08:00:00","Particular","127.398","591.9","50"
"565070","2019-06-30 08:00:00","Particular","37.895","334.98","54"
"565080","2019-06-30 08:00:00","Particular","53.574","460.88","61"
"565090","2019-06-30 08:00:00","Fiorino","52.943","488.13","71"
"565100","2019-06-30 08:00:00","Particular","73.404","492.35","58"
"565110","2019-06-30 08:00:00","Particular","66.650","490.13","64"
"565120","2019-06-30 08:00:00","Particular","45.206","397.25","52"
"565130","2019-06-30 08:00:00","Particular","39.306","407.18","52"
"565140","2019-06-30 08:00:00","Particular","47.581","495.73","68"
"565150","2019-06-30 08:00:00","Particular","64.078","467.07","57"
"565160","2019-06-30 08:00:00","Particular","47.026","422.42","57"
"565170","2019-06-30 08:00:00","Bloqueado","88.331","615.88","73"
"565180","2019-06-30 08:00:00","Bloqueado","105.730","714.97","83"
"565190","2019-06-30 08:00:00","Particular","103.666","501.67","55"
"565200","2019-06-30 08:00:00","Particular","37.973","407.63","65"
"565210","2019-06-30 08:00:00","Particular","51.276","415.45","59"
"565220","2019-06-30 08:00:00","Particular","38.670","359.3","59"
"565230","2019-06-30 08:00:00","Particular","54.876","445.5","63"
"565240","2019-06-30 08:00:00","Particular","40.870","387.9","57"
"565250","2019-06-30 08:00:00","Particular","112.850","538.82","54"
